LOCATION,ONE_LINER,INDUSTRY,BATCH,SUBINDUSTRY,`AI?`
"New York, NY, USA",A vintage marketplace curated by AI,Consumer,Winter 2025,"['Consumer', 'Apparel and Cosmetics']",AI Related
"New York, NY, USA",Bank transfers as payments for luxury retailers.,Fintech,Spring 2025,"['Fintech', 'Payments']",Not AI Related
"New York, NY, USA",AI manager for physical stores,B2B,Spring 2025,"['B2B', 'Retail']",AI Related
"New York, NY, USA",AI-native Zocdoc,Healthcare,Spring 2025,"['Healthcare', 'Healthcare IT']",AI Related
"New York, NY, USA",AI Agents for Software Implementations,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA","Automated revenue cycle management, starting with dentists",Healthcare,Winter 2025,['Healthcare'],Not AI Related
"San Francisco, CA, USA",We help business leaders get back into Founder Mode,B2B,Winter 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA","A Disease Focused Biotech, Building Multiple Billion Dollar Drugs",Healthcare,Winter 2025,"['Healthcare', 'Therapeutics']",Not AI Related
"San Francisco, CA, USA",AI drug discovery platform for neurotherapeutics,Healthcare,Winter 2025,"['Healthcare', 'Therapeutics']",AI Related
"San Francisco, CA, USA",Cursor for Designers,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI documentation engineer – test & autoimprove stale product docs,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI Teacher Assistant for Grading Essays,Education,Winter 2025,['Education'],AI Related
"San Francisco, CA, USA",AI for air traffic control,Industrials,Winter 2025,"['Industrials', 'Aviation and Space']",AI Related
"San Francisco, CA, USA",The AI that builds better AIs,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",Voice AI Customer Support for Financial Services,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",We help companies win government funding with AI,Government,Winter 2025,['Government'],AI Related
"San Francisco, CA, USA",The only self-improving voice AI,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI recruiter tuned to identify the best vibe coders,B2B,Winter 2025,"['B2B', 'Recruiting and Talent']",AI Related
"San Francisco, CA, USA",Hardware for Electric Vehicles.,Industrials,Winter 2025,['Industrials'],Not AI Related
"San Francisco, CA, USA",Character.AI with real time video avatars,Consumer,Winter 2025,['Consumer'],AI Related
"San Francisco, CA, USA",AI Analyst for Electricity Markets,Industrials,Winter 2025,"['Industrials', 'Energy']",AI Related
"San Francisco, CA, USA",Zero code network tracer,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",An AI teammate that automatically updates your customer-facing docs,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Workflow automation engine,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AWS for AI Agents,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",AI agents for supply chain workflow automation,B2B,Winter 2025,"['B2B', 'Supply Chain and Logistics']",AI Related
"San Francisco, CA, USA",AI-powered recruiting team for startups,B2B,Winter 2025,"['B2B', 'Recruiting and Talent']",AI Related
"San Francisco, CA, USA",Daily productivity tracker,B2B,Winter 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",The AI Maximalist Software Holding Company,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI for insurance verification & billing at dental clinics,Healthcare,Winter 2025,"['Healthcare', 'Healthcare IT']",AI Related
"San Francisco, CA, USA",People search that works,B2B,Winter 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Twilio for AI Agents,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",AI coworkers that can learn and act just like a human,B2B,Winter 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",We make mobile apps using AI.,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",AI recruiter for hiring managers,B2B,Winter 2025,"['B2B', 'Recruiting and Talent']",AI Related
"San Francisco, CA, USA",the AI inbound sales team for law firms,B2B,Winter 2025,"['B2B', 'Legal']",AI Related
"San Francisco, CA, USA",AI to measure engineering work,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Visual AI for factories,Industrials,Winter 2025,"['Industrials', 'Manufacturing and Robotics']",AI Related
"San Francisco, CA, USA",We help defense firms win more contracts with the Pentagon,B2B,Winter 2025,"['B2B', 'Operations']",Not AI Related
"San Francisco, CA, USA",The AI Growth Engine for Industrials,B2B,Winter 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA","Manufacturing the most powerful chips, 15x faster",Industrials,Winter 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",A foundation model for physics.,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI Copilot for Ambulance Agencies (EMS),Healthcare,Winter 2025,"['Healthcare', 'Healthcare IT']",AI Related
"San Francisco, CA, USA",AI compliance co-pilot for regulated financial businesses,B2B,Winter 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",Personalized Updates on Company Progress,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Create and run your own video editing AI agents,Consumer,Winter 2025,"['Consumer', 'Content']",AI Related
"San Francisco, CA, USA",Make & Watch Fun Videos,Consumer,Winter 2025,['Consumer'],Not AI Related
"San Francisco, CA, USA",AI to Replace Management Consulting,B2B,Winter 2025,"['B2B', 'Analytics']",AI Related
"San Francisco, CA, USA",AI Grading for Teachers,Education,Winter 2025,['Education'],AI Related
"San Francisco, CA, USA",Foundation models to automate x-ray analysis for radiologists,Healthcare,Winter 2025,['Healthcare'],AI Related
"San Francisco, CA, USA",hud is building evals for the drop-in worker,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Build internal tools for your data with natural language.,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI Powered Immigration Platform,B2B,Winter 2025,"['B2B', 'Legal']",AI Related
"San Francisco, CA, USA",AI Browser Agents for the Back-Office,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",We're building a living digital clone for everyone.,Consumer,Winter 2025,"['Consumer', 'Social']",Not AI Related
"San Francisco, CA, USA",Discovering new pesticides with AI,Industrials,Winter 2025,"['Industrials', 'Agriculture']",AI Related
"San Francisco, CA, USA",Improving Agents through Reinforcement Learning,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",AI Healthcare Provider Credentialing Software,Healthcare,Winter 2025,"['Healthcare', 'Healthcare IT']",AI Related
"San Francisco, CA, USA",Automate back office tasks for medical clinics,Healthcare,Winter 2025,"['Healthcare', 'Healthcare Services']",Not AI Related
"San Francisco, CA, USA",AI-Native Enterprise Deal Execution Platform,B2B,Winter 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA",A new prediction market for businesses,Consumer,Winter 2025,['Consumer'],Not AI Related
"San Francisco, CA, USA",High Quality Multilingual Training Data for AI Models,B2B,Winter 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",Weights & Biases for AI Agents,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Insider Threat for the AI era,B2B,Winter 2025,"['B2B', 'Security']",AI Related
"San Francisco, CA, USA","AI agents for CX teams, starting with training and QA.",B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Reasoning models for robotics,B2B,Winter 2025,"['B2B', 'Supply Chain and Logistics']",Not AI Related
"San Francisco, CA, USA",AI Agents that automate enterprise software processes,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Automate deal origination with AI agents.,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI Employees for Hotels,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Open-Source Unit Testing for LLM Applications,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Enterprise-grade AI support reps for call centers,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI-native commercial insurance brokerage,Fintech,Winter 2025,"['Fintech', 'Insurance']",AI Related
"San Francisco, CA, USA",AI Quoting and Proposals,B2B,Winter 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA",Hands off Salesforce QA,B2B,Winter 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",Global B2B Stablecoin Processor,Fintech,Winter 2025,"['Fintech', 'Payments']",Not AI Related
"San Francisco, CA, USA",We use AI to simulate entire human societies,B2B,Winter 2025,"['B2B', 'Analytics']",AI Related
"San Francisco, CA, USA",Research lab investigating the boundaries of AI capabilities.,B2B,Winter 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",We help software companies sell to government.,Government,Winter 2025,['Government'],Not AI Related
"San Francisco, CA, USA",AI performance monitoring for factory workers,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI Value Creation Team for Private Equity,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI platform enabling anyone to build and scale software businesses,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA","Test, monitor, and improve your voice agents",B2B,Winter 2025,"['B2B', 'Analytics']",Not AI Related
"San Francisco, CA, USA",AI Game Builder,Consumer,Spring 2025,"['Consumer', 'Gaming']",AI Related
"San Francisco, CA, USA",AI for accounting,B2B,Winter 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",The AI RPA - Powered by Browser Agents,B2B,Winter 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",AI Agents for Sales Operations,B2B,Winter 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA",Cursor for Microsoft Word,B2B,Winter 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA",Leading open-source web agent project with 50k stars in 3 months,B2B,Winter 2025,['B2B'],Not AI Related
"San Francisco, CA, USA",AI Copilot for Graphic Design,Consumer,Winter 2025,['Consumer'],AI Related
"San Francisco, CA, USA",Building the lunar future.,Industrials,Winter 2025,"['Industrials', 'Aviation and Space']",Not AI Related
"San Francisco, CA, USA",Reasoning Fine-Tuning,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA","Building Dex, the AI Browser Copilot",B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Helping scientists and engineers run experiments with AI.,B2B,Summer 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",The AI Software Architect,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Open Source React.js Library for AI Chat,B2B,Winter 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",AI voice for property managers,Real Estate and Construction,Summer 2025,['Real Estate and Construction'],AI Related
"San Francisco, CA, USA",Building the open source smart glasses operating system.,Consumer,Winter 2025,"['Consumer', 'Virtual and Augmented Reality']",Not AI Related
"San Francisco, CA, USA",AWS for AI Agents,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",The first AI mortgage lender,Fintech,Spring 2025,"['Fintech', 'Credit and Lending']",AI Related
"San Francisco, CA, USA",Scale AI for Medical Scans,Healthcare,Spring 2025,['Healthcare'],AI Related
"San Francisco, CA, USA",Simulation Engine for Benchmarking AI Products,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA","Software to monitor, control, and optimize data centers.",B2B,Spring 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",The AI workforce for healthcare operations.,Healthcare,Spring 2025,"['Healthcare', 'Healthcare Services']",AI Related
"San Francisco, CA, USA",Swarm robotics and full AI-command hierarchy integration,Industrials,Spring 2025,"['Industrials', 'Aviation and Space']",AI Related
"San Francisco, CA, USA",The AI knowledge graph for institutional investors,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Vertical AI for highly-regulated manufacturing,Industrials,Spring 2025,"['Industrials', 'Aviation and Space']",AI Related
"San Francisco, CA, USA",Your First AI Sales Hire for Wholesale Distributors,B2B,Spring 2025,"['B2B', 'Supply Chain and Logistics']",AI Related
"San Francisco, CA, USA",Voice AI Medical Rep for Pharma,Healthcare,Spring 2025,['Healthcare'],AI Related
"San Francisco, CA, USA",Automating Enterprise Software Implementations,B2B,Spring 2025,['B2B'],Not AI Related
"San Francisco, CA, USA","One-click mortgage: AI shops, negotiates, and handles your application",Fintech,Spring 2025,"['Fintech', 'Consumer Finance']",AI Related
"San Francisco, CA, USA",The AI Agent Platform for Knowledge Workers.,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Affordable robotic workers,Industrials,Spring 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",AI-powered robotics for scientific lab automation.,Industrials,Spring 2025,"['Industrials', 'Manufacturing and Robotics']",AI Related
"San Francisco, CA, USA",AI operating system for healthcare organizations,Healthcare,Spring 2025,"['Healthcare', 'Healthcare IT']",AI Related
"San Francisco, CA, USA",Rippling for Content Creators,B2B,Spring 2025,"['B2B', 'Operations']",Not AI Related
"San Francisco, CA, USA",Perplexity for internal docs,B2B,Spring 2025,"['B2B', 'Productivity']",Not AI Related
"San Francisco, CA, USA",Open source platform to build AI agent workflows,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI agents that help you understand your customers' needs,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI-powered data entry for wholesalers and distributors,B2B,Spring 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA","Faster builds, zero effort.",B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",We automate your entire product development lifecycle.,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",The authentication framework for TypeScript,B2B,Spring 2025,"['B2B', 'Security']",Not AI Related
"San Francisco, CA, USA",AI Infrastructure for autonomous software creation and interaction,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Post-training Data Research Lab,B2B,Spring 2025,['B2B'],Not AI Related
"San Francisco, CA, USA","Tinfoil makes your AI workflows secure, verifiable, and private.",B2B,Spring 2025,"['B2B', 'Security']",AI Related
"San Francisco, CA, USA",Grammarly for Math ✏️,Education,Spring 2025,['Education'],Not AI Related
"San Francisco, CA, USA",Voice AI Interviews for Enterprise,B2B,Spring 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",Deep Research for People,B2B,Spring 2025,"['B2B', 'Recruiting and Talent']",Not AI Related
"San Francisco, CA, USA",AI Agents for Research,B2B,Spring 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",The data layer for scientific research,B2B,Spring 2025,"['B2B', 'Analytics']",Not AI Related
"San Francisco, CA, USA",Documentation made for AI Agents,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",Open-source multimodal search for AI apps,B2B,Spring 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",Cursor for Sales,B2B,Spring 2025,"['B2B', 'Sales']",Not AI Related
"San Francisco, CA, USA",AI-Native Zoom For Revenue Teams,B2B,Spring 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA",Self-Learning for AI Agents,B2B,Spring 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI-Powered Collections Platform for Food Distributors,Fintech,Winter 2025,"['Fintech', 'Credit and Lending']",AI Related
"San Francisco, CA, USA",Stripe for AI startups,B2B,Summer 2025,['B2B'],AI Related
"San Francisco, CA, USA",Automating refurbishment of $1T in consumer electronics,Industrials,Winter 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",AI that understands construction blueprints,Real Estate and Construction,Winter 2025,"['Real Estate and Construction', 'Construction']",AI Related
"San Francisco, CA, USA",AI Copilot that automates admin work for veterinary professionals,B2B,Winter 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",Reddit Marketing Agent for technical audiences,B2B,Winter 2025,"['B2B', 'Marketing']",AI Related
"San Francisco, CA, USA",AI-Native Commercial Real Estate Brokerage,Real Estate and Construction,Winter 2025,['Real Estate and Construction'],AI Related
"San Francisco, CA, USA",Software that maps your infrastructure. Open core alternative to Wiz,B2B,Winter 2025,"['B2B', 'Security']",Not AI Related
"San Francisco, CA, USA",Design a chip in minutes,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA","Trade memecoins, perpetuals, and earn yield.",Fintech,Winter 2025,"['Fintech', 'Consumer Finance']",Not AI Related
"San Francisco, CA, USA",AI Website Builder,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",The AI Native Email Client,B2B,Winter 2025,"['B2B', 'Productivity']",AI Related
"San Francisco, CA, USA",The world’s first AI energy developer,Industrials,Winter 2025,"['Industrials', 'Energy']",AI Related
"San Francisco, CA, USA",Voice AI for medical language translation,Healthcare,Winter 2025,"['Healthcare', 'Healthcare Services']",AI Related
"San Francisco, CA, USA",AI to monitor thousands of security cameras.,B2B,Winter 2025,"['B2B', 'Security']",AI Related
"San Francisco, CA, USA",Fusion reactors for ships,Industrials,Winter 2025,"['Industrials', 'Energy']",Not AI Related
"San Francisco, CA, USA",AI Powered CAD,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",AI agents for Audit,B2B,Winter 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",High accuracy search API over unstructured data.,B2B,Winter 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Real-Time Self-Improvement for AI Agents,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Real-time AI translator for global sales and marketing,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",The AI investment analyst,Fintech,Winter 2025,['Fintech'],AI Related
"San Francisco, CA, USA","Exchange and co-located trading facility, on a chip.",Fintech,Winter 2025,"['Fintech', 'Banking and Exchange']",Not AI Related
"San Francisco, CA, USA",Robots that repair roads,Industrials,Winter 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",AI Agents for Complex Engineering Projects,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",interactive video models,Consumer,Winter 2025,['Consumer'],Not AI Related
"San Francisco, CA, USA",Get Your Brand Discovered on ChatGPT.,B2B,Winter 2025,"['B2B', 'Marketing']",Not AI Related
"San Francisco, CA, USA",We automate urban planning so cities can build cheaper and faster.,Government,Winter 2025,['Government'],AI Related
"San Francisco, CA, USA",An SDK to run transformer models anywhere,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI game development engine & platform,Consumer,Winter 2025,"['Consumer', 'Gaming']",AI Related
"San Francisco, CA, USA",Building your AI finance co-worker,B2B,Winter 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",High Thrust Space Vehicles for Satellite Defense,Industrials,Winter 2025,"['Industrials', 'Aviation and Space']",Not AI Related
"San Francisco, CA, USA",Self-improving knowledge base synthesizing scattered company data,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",The only sales software you will ever need.,B2B,Winter 2025,"['B2B', 'Sales']",Not AI Related
"San Francisco, CA, USA",AI co-pilot for building plan review and building code compliance,Real Estate and Construction,Winter 2025,"['Real Estate and Construction', 'Construction']",AI Related
"San Francisco, CA, USA",Coding Agents for Engineering Managers,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Making humanoids dexterous enough to thread a needle,Industrials,Winter 2025,"['Industrials', 'Manufacturing and Robotics']",Not AI Related
"San Francisco, CA, USA",AI-native ATS/CRM for recruiting firms,B2B,Winter 2025,"['B2B', 'Recruiting and Talent']",AI Related
"San Francisco, CA, USA",Build apps and agents by speaking with AI,B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",AI-Powered Hardware System Design Software,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Vercel For GPUs,B2B,Winter 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Behavioral Cache for Agents,B2B,Winter 2025,"['B2B', 'Infrastructure']",AI Related
"San Francisco, CA, USA",Voice Agents for Physical Retail Stores,B2B,Spring 2025,"['B2B', 'Operations']",AI Related
"San Francisco, CA, USA",The open source copilot for any app,B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI Quote and Order Automation for Distributors & Manufacturers,B2B,Winter 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA","Live, AI-powered graph of every possible click path in your software",B2B,Winter 2025,['B2B'],AI Related
"San Francisco, CA, USA",Coming soon!,B2B,Winter 2025,['B2B'],Not AI Related
"San Francisco, CA, USA","An Collaborative, AI-native IDE for Hardware Engineers",B2B,Winter 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Agentic AI platform for investment firms,B2B,Winter 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",AI-powered Account Managers,B2B,Summer 2025,"['B2B', 'Sales']",AI Related
"San Francisco, CA, USA",Stablecoin API for global payments,Fintech,Winter 2025,"['Fintech', 'Payments']",Not AI Related
"San Francisco, CA, USA",A Roomba for weeds on a farm.,Industrials,Winter 2025,"['Industrials', 'Agriculture']",Not AI Related
"San Francisco, CA, USA",Open-source agents to build predictive ML models from a prompt,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",Lovable for internal apps,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",Cursor for data teams.,B2B,Spring 2025,"['B2B', 'Analytics']",Not AI Related
"San Francisco, CA, USA",Open-source platform for building production MCP servers,B2B,Spring 2025,"['B2B', 'Infrastructure']",Not AI Related
"San Francisco, CA, USA",Build and share mobile apps in seconds,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",Not AI Related
"San Francisco, CA, USA",AI agents for insurance claims operations,Fintech,Spring 2025,"['Fintech', 'Insurance']",AI Related
"San Francisco, CA, USA",AI to Replace SMB Bookkeepers,B2B,Spring 2025,"['B2B', 'Finance and Accounting']",AI Related
"San Francisco, CA, USA",Docker for Computer-use Agents,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA","Personal AI healthcare agent, powered by clinical and wearable data.",Healthcare,Spring 2025,"['Healthcare', 'Consumer Health and Wellness']",AI Related
"San Francisco, CA, USA",🪸 AI consumer social,Consumer,Spring 2025,['Consumer'],AI Related
"San Francisco, CA, USA",Anvil is the SEO platform for the AI era,B2B,Spring 2025,"['B2B', 'Marketing']",AI Related
"San Francisco, CA, USA",The first AI revenue platform for post-acute healthcare,Healthcare,Spring 2025,['Healthcare'],AI Related
"San Francisco, CA, USA",AI robots for manufacturing,Industrials,Spring 2025,"['Industrials', 'Manufacturing and Robotics']",AI Related
"San Francisco, CA, USA",Open Source Data Ingestion For AI,B2B,Spring 2025,"['B2B', 'Engineering, Product and Design']",AI Related
"San Francisco, CA, USA",AI tutor for each student.,Education,Spring 2025,['Education'],AI Related
"San Francisco, CA, USA",Cursor for Teachers,Education,Spring 2025,['Education'],Not AI Related
"San Francisco, CA, USA",Embodied AI Platform for Industrial Robotics,Industrials,Spring 2025,"['Industrials', 'Manufacturing and Robotics']",AI Related
